,mu,sigma,r2
7.3,123.63360815394944,5.512594361549787,0.999968486508153
7.4,124.25896073495764,5.548529854447414,0.999965064652232
7.5,124.88002080138637,5.584769934132279,0.9999620341263721
7.6,125.49643372568399,5.621369782088589,0.9999596103558113
7.7,126.10784522029722,5.658384940888802,0.9999579838081454
7.8,126.71390066692736,5.695871464793853,0.9999572986976735
7.9,127.31424599970401,5.7338893471534025,0.9999576142565885
8.0,127.90854741574707,5.772511763729589,0.9999587855217575
8.1,128.49650002386514,5.811772389272327,0.9999605020711172
8.2,129.0778040863931,5.851697024664709,0.9999623257789206
8.3,129.65227294867162,5.892314511044798,0.9999637366585116
8.4,130.21990116882506,5.933655857954112,0.9999642850916268
8.5,130.78071953177272,5.975726594941963,0.9999636132049701
8.6,131.33490132485667,6.018366609503115,0.9999614279111051
8.7,131.8827123722925,6.0614102060686665,0.9999574872184371
8.8,132.42444601444654,6.104752529799098,0.9999516681188595
8.9,132.96039712213778,6.148291682562066,0.999944052350564
9.0,133.4908612097704,6.191927029391702,0.9999349389947972
9.1,134.01613441348246,6.2355594551473414,0.9999248348594517
9.2,134.53651340720236,6.279091435393835,0.9999144267278064
9.3,135.052295259401,6.32242697411653,0.9999045374486822
9.4,135.56377723348243,6.365471371053059,0.9998960676085249
9.5,136.07125653387843,6.408130864356034,0.99988992427825
9.6,136.57503000074422,6.450312169666382,0.9998869380729544
9.7,137.07540045422962,6.491930024527969,0.9998877544167294
9.8,137.5728042854031,6.533058182159311,0.9998924523309779
9.9,138.06781703205152,6.573871690365936,0.9999004661017121
10.0,138.5610540981809,6.6144642037513,0.9999108978785861
10.1,139.05316641503083,6.654850701256856,0.9999226829564506
10.2,139.54480841624562,6.6950389015976945,0.9999347948611417
10.3,140.03663627533285,6.73503994930903,0.9999463235863157
10.4,140.52931250851478,6.774873496151677,0.9999565233261056
10.5,141.023543477994,6.814560839086196,0.9999648843217738
10.6,141.52006822703007,6.854124270855987,0.9999711009767043
10.7,142.0196292763556,6.893593022317811,0.999975028931299
10.8,142.52298985076519,6.933044187163297,0.9999766671003554
10.9,143.03093197989486,6.972567429029839,0.9999761544091099
11.0,143.5442896525603,7.012190511900809,0.999973769170186
11.1,144.0639152362771,7.051919105918372,0.9999698842222227
11.2,144.5906613795518,7.091758500106303,0.9999649383729002
11.3,145.12538095222922,7.1317136479832826,0.9999594135170384
11.4,145.66892575339614,7.17179288262808,0.9999538099756692
11.5,146.22214000997826,7.212027264663936,0.9999486246445513
11.6,146.78586506373924,7.252456539555142,0.9999443089569131
11.7,147.36094213933126,7.293120634841899,0.999941232964935
11.8,147.94821212498874,7.3340599951928285,0.9999396524164013
11.9,148.54851534900828,7.375315953736101,0.9999396733982204
12.0,149.1626913580652,7.416931070149989,0.9999412148705874
12.1,149.79154307584932,7.458883803343135,0.9999439776168445
12.2,150.43555614882402,7.500665097375096,0.9999472230306424
12.3,151.0949920252468,7.541549156770178,0.9999499781477371
12.4,151.76977675411143,7.5812248810035845,0.9999517341966183
12.5,152.45957954819164,7.61980008658931,0.9999525487251097
12.6,153.1639328096681,7.6577019341626436,0.9999528962474281
12.7,153.88232202512438,7.695319342416579,0.9999537730167877
12.8,154.61417039855579,7.732887794472342,0.9999565374600683
