age,p05,p10,p25,p50,p75,p90,p95
9.0,123.54158989913363,125.63966387576785,129.30510804558443,133.41848186206195,137.70947848861962,141.47588610197556,143.80555444871675
9.1,124.01015489990046,126.11963868046465,129.79600944287225,133.93799454196412,138.27615692100167,142.05011152538881,144.39168261371358
9.2,124.47282682577358,126.59432015221988,130.28194822523412,134.45345668290054,138.8369022954324,142.61917030963102,144.97421587292035
9.3,124.92957922706314,127.06383382640134,130.76346939299495,134.96530592972871,139.39155769669776,143.18357898598214,145.5535559281347
9.4,125.38038565407918,127.52830523837692,131.24111794647985,135.473979927306,139.93996620958376,143.74385408572235,146.1301044811541
9.5,125.82521965713174,127.98785992351456,131.71543888601386,135.97991632048982,140.48197091887633,144.30051214013153,146.70426323377615
9.6,126.26405478653092,128.44262341718212,132.18697721192186,136.4835527541377,141.01741490936143,144.85406968048989,147.27643388779853
9.7,126.69686459258682,128.8927212547474,132.65627792452898,136.98532687310697,141.5461707710887,145.40504323807744,147.84701814501872
9.8,127.12365994703963,129.33827897157835,133.12388602416013,137.48567632225516,142.0686990508904,145.9539493441742,148.4164177072344
9.9,127.54503897871346,129.77942708732823,133.59034651114035,137.9850387464396,142.58600190124488,146.50130453006022,148.98503427624303
10.0,127.96206709571938,130.21660546812868,134.05620438579467,138.48385179051778,143.09910169006773,147.04762532701557,149.55326955384234
10.1,128.37582263848884,130.6507394790204,134.52200464844807,138.98255309934711,143.60902078527428,147.59342826632025,150.1215252418298
10.2,128.78738394745335,131.0827969590303,134.98829229942558,139.48158031778505,144.11678155477992,148.13922987925437,150.69020325156032
10.3,129.1978293630444,131.51374574718557,135.45561233905215,139.98137109068907,144.6234063665001,148.685546697098,151.25976220582044
10.4,129.60823722569344,131.94455368251315,135.92450976765286,140.482371392792,145.12991758835014,149.23289525113114,151.83079390103114
10.5,130.0196858758319,132.37618860404004,136.39552958555268,140.9851477884111,145.63733758824563,149.78179207263383,152.40390922951826
10.6,130.43325365389128,132.80961835079333,136.86921679307665,141.49035764322798,146.14668873410182,150.33275369288617,152.97971908360756
10.7,130.8500189003031,133.2458107618,137.34611639054972,141.99866054441642,146.65899339383412,150.88633377506636,153.55883435562475
10.8,131.2710599554988,133.68573367608707,137.8267733782969,142.51071607915054,147.17527393535804,151.4433823721325,154.1418659378958
10.9,131.69745515990982,134.13035493268163,138.31177441023627,143.02718383460413,147.69655272658892,152.00489148820827,154.72942472274627
11.0,132.13028285396769,134.5806423706107,138.8019397770737,143.5487233979512,148.22385213544217,152.57185401708577,155.322121602502
11.1,132.57062137810385,135.03756382890123,139.29817117598088,144.07599435636558,148.75819452983316,153.14526285255695,155.9205674694888
11.2,133.01954907274978,135.5020871465803,139.80137038742114,144.60965629702127,149.30060227767743,153.72611088841396,156.52537321603242
11.3,133.47814427833697,135.97518016267492,140.31243919185783,145.15036880709218,149.85209774689028,154.31539101844865,157.13714973445866
11.4,133.94743541236454,136.45781071621218,140.8322793697543,145.6987914737523,150.41370330538714,154.91409613645314,157.75650791709324
11.5,134.4281389514522,136.95094664621902,141.36179270157376,146.25558388417545,150.98644132108342,155.52321913621947,158.38405865626197
11.6,134.92085112101273,137.45555579172247,141.90188096777968,146.82140562553565,151.57133416189453,156.14375291153968,159.0204128442906
11.7,135.42616789184711,137.97260599174965,142.4534459488353,147.3969162850067,152.1694041957359,156.77669035620573,159.6661813735049
11.8,135.94468523475624,138.50306508532753,143.01738942520407,147.9827754497627,152.78167379052286,157.42302436400973,160.32197513623075
11.9,136.47699912054108,139.0479009114831,143.5946131773491,148.57964270697747,153.4091653141709,158.0837478287436,160.98840502479376
12.0,137.02370552000264,139.60808130924346,144.1860189857339,149.18817764382496,154.05290113459537,158.7598536441995,161.66608193151984
12.1,137.58540040394192,140.18457411763558,144.79250863082171,149.8090398474791,154.713838481257,159.45203327278833,162.3556167487347
12.2,138.16267974315986,140.77834717568652,145.41498389307594,150.44288890511385,155.39201692018977,160.15949013074143,163.05762036876405
12.3,138.75613921359047,141.3903683224233,146.05419522618791,151.09038440390307,156.08679766148862,160.88096925759388,163.77270368393383
12.4,139.3659598166184,142.02160355038757,146.7094711442008,151.75218593102076,156.79752601230518,161.61521556475563,164.50147758656968
12.5,139.9910828131801,142.67224725205156,147.37936106473035,152.42895307364077,157.52354727979127,162.36097396363687,165.24455296899743
12.6,140.63021878361062,143.34053192919322,148.06240642526947,153.1213454189371,158.26420677109866,163.11698936564747,166.0025290001052
12.7,141.28207830824496,144.02438287458895,148.75714866331114,153.83002255408363,159.01884979337908,163.8820066821977,166.77478484961418
12.8,141.94537196741823,144.72172538101518,149.4621292163484,154.5556141503373,159.78682165378427,164.65477082469744,167.55843018510663
12.9,142.61881034146558,145.4304847412482,150.17588952187415,155.29741703065645,160.56746765946605,165.4340263992492,168.3503273468513
