,mu,sigma,r2
18.0,163.08220862010984,6.465948236618366,0.999961436625039
18.1,163.1094924870651,6.464685575706609,0.9999678282537896
18.2,163.13502768318037,6.46521339844502,0.9999736395387019
18.3,163.1584864527431,6.467723138201884,0.9999778907554743
18.4,163.17972910207232,6.472175914221769,0.9999797033697007
18.5,163.19867189178683,6.478454997391044,0.999978568667591
18.6,163.21523108983766,6.48643135890768,0.9999744090618302
18.7,163.22937242602038,6.495857264174509,0.9999674376603774
18.8,163.24118367561098,6.506211947506181,0.9999580256093548
18.9,163.25077172464842,6.516931354337573,0.9999470072978853
19.0,163.25824267279302,6.527453215231569,0.9999356737608277
19.1,163.2637006111274,6.5372210446240615,0.9999256438092348
19.2,163.26724669534164,6.54568762612864,0.9999186651630388
19.3,163.26897855164844,6.552317995599008,0.9999163481593719
19.4,163.26899008058157,6.556592024263604,0.9999198321512341
19.5,163.26737175171337,6.558006635952685,0.9999293812891583
19.6,163.26421152102105,6.556077820864521,0.9999439019804989
19.7,163.2595965474842,6.550342624688087,0.9999603688304465
19.8,163.2536159484925,6.540361347695585,0.9999731390393428
19.9,163.2463649256272,6.525720320390088,0.999973126656474
20.0,163.2379507170142,6.506035787025183,0.9999467971704553
